crop_id	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	crop_code	comment
46	0.16	0.17	0.22	0.31	0.42	0.54	0.66	0.76	0.84	0.89	0.92	0.95	0.95	0.95	0.50	0.75	0.80	0.80	0.80	0.80	0.80	PPMT	New Curve for NMPI from L. Tiegs 8/21/97
47	0.16	0.17	0.22	0.31	0.42	0.54	0.66	0.76	0.84	0.89	0.92	0.95	0.95	0.95	0.95	0.95	0.50	0.75	0.80	0.80	0.80	NMNT	New Mint NMPI Curve from L. Tiegs 8/21/97
48	0.60	0.69	0.78	0.85	0.88	0.92	0.95	0.96	0.96	0.96	0.96	0.95	0.93	0.92	0.90	0.89	0.87	0.86	0.84	0.83	0.81	HAYP	Grass Hay (Fawn Fescue) Peak  Added 2001
49	0.60	0.69	0.78	0.85	0.88	0.92	0.94	0.95	0.95	0.95	0.94	0.87	0.80	0.80	0.80	0.80	0.80	0.80	0.76	0.70	0.65	HAYM	Grass Hay (Fawn Fescue) Mean  Added 2001
50	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	ETr	Reference ET (coeff = 1.0) Added 2001
51	0.15	0.18	0.20	0.23	0.25	0.28	0.30	0.33	0.35	0.38	0.40	0.43	0.46	0.49	0.52	0.55	0.58	0.61	0.64	0.67	0.70	POP1	First Year Poplars from E. Eldredge 6/98
52	0.15	0.21	0.26	0.32	0.37	0.43	0.48	0.54	0.59	0.65	0.70	0.73	0.76	0.79	0.82	0.85	0.88	0.91	0.94	0.97	1.00	POP2	Second Year Poplars from E. Eldredge 6/98
53	0.15	0.24	0.32	0.41	0.49	0.58	0.66	0.75	0.83	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	POP3	Third+ Year Poplars from E. Eldredge 6/98
54	0.20	0.20	0.30	0.60	0.83	0.94	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.80	0.62	0.43	0.20	SAFL	Safflower from FAO-56  7/07
55	0.13	0.18	0.24	0.31	0.38	0.47	0.58	0.68	0.77	0.84	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	0.90	LETC	Lettuce from FAO-56 7-10-07
56	0.40	0.45	0.52	0.58	0.66	0.76	0.85	0.94	1.00	1.04	1.04	1.04	1.04	1.04	1.04	1.04	0.97	0.88	0.80	0.66	0.43	CHRY	Cherries E. of Cascades w/cover Wright 98
57	0.20	0.20	0.25	0.37	0.48	0.56	0.62	0.68	0.74	0.77	0.78	0.78	0.78	0.78	0.78	0.78	0.75	0.66	0.57	0.47	0.39	CHRY	Cherries E. of Cascases nocover Wright 98
58	0.13	0.18	0.24	0.31	0.38	0.47	0.58	0.68	0.77	0.84	0.90	0.90	0.90	0.89	0.89	0.88	0.88	0.87	0.86	0.86	0.85	SPNC	Spinach from FAO-56 7-10-07
59	0.15	0.25	0.35	0.38	0.45	0.54	0.65	0.75	0.84	0.91	0.95	0.94	0.93	0.92	0.91	0.90	0.89	0.88	0.87	0.86	0.85	CBBG	Cabbage from FAO-56 6-1-08
60	0.10	0.10	0.10	0.10	0.10	0.23	0.62	0.79	0.83	0.92	1.01	1.06	1.06	1.06	1.01	0.85	0.64	0.44	0.31	0.25	0.21	HOPS	Hops ARS from WSU, Jim Wright 2005
61	0.22	0.40	0.56	0.70	0.83	0.94	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.76	0.60	0.43	0.28	RAPF	Rapeseed (Canola) Fall Planting
62	0.11	0.15	0.30	0.44	0.52	0.74	0.85	0.95	0.96	0.97	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.98	0.97	ALHP	Alfalfa Grass Hay Peak (75%/25%)
63	0.11	0.15	0.30	0.44	0.52	0.68	0.74	0.75	0.77	0.77	0.78	0.78	0.78	0.78	0.78	0.78	0.77	0.76	0.76	0.76	0.76	ALHM	Alfalfa Grass Hay Mean (75%/25%)
97	0.05	0.12	0.20	0.28	0.34	0.43	0.53	0.61	0.67	0.70	0.69	0.68	0.66	0.64	0.59	0.53	0.41	0.20	0.05	0.01	0.01	CRTS	(CRT2) Modified M Zimmerman 3/93
98	0.20	0.20	0.23	0.31	0.42	0.53	0.66	0.77	0.84	0.89	0.95	1.03	1.07	1.08	1.08	0.80	0.68	0.56	0.43	0.38	0.32	PEARS	Added 2-15-94; not used
99	0.20	0.20	0.23	0.31	0.42	0.53	0.66	0.77	0.84	0.89	0.95	0.95	0.95	0.96	0.97	0.98	0.99	1.00	1.00	1.00	1.00	APPL/ORCH	(Old curve; not used)
